,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales_RandD,sales_accounting,sales_hr,sales_management,sales_marketing,sales_product_mng,sales_sales,sales_support,sales_technical,salary_low,salary_medium,Predicted_Probability,Risk_Zone
14892,0.11,0.92,6,281,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1246,0.43,0.49,2,155,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
14278,0.9,0.98,4,264,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0.99,4
12238,0.43,0.53,2,146,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
14859,0.45,0.54,2,129,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
12500,0.91,0.84,5,265,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14703,0.11,0.83,6,244,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
233,0.42,0.56,2,134,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
756,0.77,0.92,5,235,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
14260,0.43,0.47,2,147,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
12268,0.38,0.56,2,156,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12087,0.44,0.45,2,132,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
172,0.11,0.78,7,278,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
225,0.9,0.97,4,258,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0,4
14601,0.78,1.0,4,253,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,4
14450,0.1,0.97,7,254,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
12575,0.39,0.49,2,129,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
251,0.79,0.92,5,254,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
14344,0.44,0.51,2,138,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
150,0.11,0.91,6,278,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0.99,4
14960,0.82,0.86,5,257,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
419,0.82,0.85,4,223,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0.99,4
12521,0.74,0.99,4,233,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12221,0.37,0.5,2,135,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,4
14955,0.72,0.94,4,258,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.93,4
12389,0.42,0.57,2,154,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0.99,4
12444,0.39,0.54,2,127,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4
12157,0.11,0.92,6,305,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
12726,0.45,0.46,2,153,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0.97,4
1636,0.36,0.49,2,133,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4
12482,0.77,0.87,4,242,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0.99,4
357,0.37,0.54,2,149,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0.99,4
12169,0.45,0.57,2,158,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
1268,0.36,0.55,2,134,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0.99,4
1946,0.38,0.49,2,137,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
652,0.09,0.77,6,290,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
14666,0.44,0.53,2,127,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,4
1201,0.1,0.77,5,252,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0.92,4
12112,0.43,0.52,2,160,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
1215,0.74,0.97,5,238,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0.96,4
701,0.89,0.82,4,243,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0.93,4
781,0.91,0.96,4,232,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.98,4
940,0.92,0.92,4,245,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0.96,4
653,0.37,0.51,2,132,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4
1155,0.11,0.89,6,301,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,4
1456,0.39,0.51,2,155,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0.99,4
820,0.11,0.93,7,284,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,4
626,0.44,0.49,2,145,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,4
204,0.87,0.9,5,254,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,4
